country,countryLabel,continentLabel,capitalLabel,population,area,gdp,gdpPerCapitaCalculated,currencyLabel
http://www.wikidata.org/entity/Q1049,Судан,Африка,Хартум,40533330,1886068,51662241775,1274.56199071233476252753,суданский фунт
http://www.wikidata.org/entity/Q810,Иордания,Азия,Амман,10428241,89341,47451499859,4550.28799765943268860012,иорданский динар
http://www.wikidata.org/entity/Q948,Тунис,Африка,Тунис,11565204,163610,46687298709,4036.87636716135746503045,тунисский динар
http://www.wikidata.org/entity/Q1016,Ливия,Африка,Триполи,7381023,1759541,45752336036,6198.64428494532532956475,ливийский динар
http://www.wikidata.org/entity/Q1036,Уганда,Африка,Кампала,47123531,241038,45559202049,966.80365588478503446611,угандийский шиллинг
http://www.wikidata.org/entity/Q1009,Камерун,Африка,Яунде,28372687,475442,45338285386,1597.95529362446355539044,франк КФА BEAC
http://www.wikidata.org/entity/Q398,Бахрейн,Азия,Манама,1569666,786.5,44390820479,28280.42429344841514054582,бахрейнский динар
http://www.wikidata.org/entity/Q750,Боливия,Южная Америка,Ла-Пас,12244159,1098581,43068885673,3517.50460550210104262775,боливиано
http://www.wikidata.org/entity/Q750,Боливия,Южная Америка,Сукре,12244159,1098581,43068885673,3517.50460550210104262775,боливиано
http://www.wikidata.org/entity/Q733,Парагвай,Южная Америка,Асунсьон,6811297,406756,41722295362,6125.45530785105979081517,парагвайский гуарани
http://www.wikidata.org/entity/Q211,Латвия,Европа,Рига,1856932,62226.85,41153912663,22162.3154014255772424623,евро
http://www.wikidata.org/entity/Q211,Латвия,Европа,Рига,1856932,64593.76,41153912663,22162.3154014255772424623,евро
http://www.wikidata.org/entity/Q837,Непал,Азия,Катманду,29164578,147181.254346,40828247302,1399.9258724744791438436,непальская рупия
http://www.wikidata.org/entity/Q191,Эстония,Европа,Таллин,1369995,45335,38100812959,27810.9138785178048095066,евро
http://www.wikidata.org/entity/Q792,Сальвадор,Северная Америка,Сан-Сальвадор,6029976,21041,32488720000,5387.86887377329528343065,доллар США
http://www.wikidata.org/entity/Q792,Сальвадор,Северная Америка,Сан-Сальвадор,6029976,21041,32488720000,5387.86887377329528343065,Биткоин
http://www.wikidata.org/entity/Q783,Гондурас,Северная Америка,Тегусигальпа,8303771,112492,31717700115,3819.67423174362587792944,гондурасская лемпира
http://www.wikidata.org/entity/Q691,Папуа — Новая Гвинея,Австралия и Океания,Порт-Морсби,8935000,462840,30633444295,3428.47725741466144376049,Кина
http://www.wikidata.org/entity/Q424,Камбоджа,Азия,Пномпень,17423880,181035,29956769529,1719.29383862836520912678,камбоджийский риель
http://www.wikidata.org/entity/Q953,Замбия,Африка,Лусака,19610769,752618,29784454056,1518.78052594469905795127,замбийская квача
http://www.wikidata.org/entity/Q229,Кипр,Европа,Никосия,1344976,9242.45,28439052741,21144.65443323895742377559,евро
http://www.wikidata.org/entity/Q754,Тринидад и Тобаго,Северная Америка,Порт-оф-Спейн,1369125,5128,27899082337,20377.30838090020998813111,доллар Тринидада и Тобаго
http://www.wikidata.org/entity/Q189,Исландия,Европа,Рейкьявик,364260,103004,27841648044,76433.4487563828034920112,исландская крона
http://www.wikidata.org/entity/Q1041,Сенегал,Африка,Дакар,16876720,196722,27684430244,1640.39163083821974886115,франк КФА BCEAO
http://www.wikidata.org/entity/Q225,Босния и Герцеговина,Европа,Сараево,3816459,51197,27514782476,7209.50558515105232363298,конвертируемая марка
http://www.wikidata.org/entity/Q1006,Гвинея,Африка,Конакри,12717176,245857,25600000000,2013.02553334167900169031,Гвинейский франк
http://www.wikidata.org/entity/Q230,Грузия,Европа,Тбилиси,3717100,69700,24605375420,6619.50860079093917301122,грузинский лари
http://www.wikidata.org/entity/Q399,Армения,Азия,Ереван,2930450,29743.423459,24085749592,8219.1300284939173164531,армянский драм
http://www.wikidata.org/entity/Q222,Албания,Европа,Тирана,2811655,28748,23547179830,8374.84678241107105957168,албанский лек
http://www.wikidata.org/entity/Q822,Ливан,Азия,Бейрут,6100075,10452,23131941557,3792.07494284906333118855,ливанский фунт
http://www.wikidata.org/entity/Q790,Гаити,Северная Америка,Порт-о-Пренс,10981229,27750,20877414952,1901.19111002966972093925,гаитянский гурд
http://www.wikidata.org/entity/Q954,Зимбабве,Африка,Хараре,15178979,390757,20678055598,1362.28237735884607258499,евро
http://www.wikidata.org/entity/Q954,Зимбабве,Африка,Хараре,15178979,390757,20678055598,1362.28237735884607258499,доллар США
http://www.wikidata.org/entity/Q954,Зимбабве,Африка,Хараре,15178979,390757,20678055598,1362.28237735884607258499,японская иена
http://www.wikidata.org/entity/Q954,Зимбабве,Африка,Хараре,15178979,390757,20678055598,1362.28237735884607258499,фунт стерлингов
http://www.wikidata.org/entity/Q954,Зимбабве,Африка,Хараре,15178979,390757,20678055598,1362.28237735884607258499,китайский юань
http://www.wikidata.org/entity/Q954,Зимбабве,Африка,Хараре,15178979,390757,20678055598,1362.28237735884607258499,индийская рупия
http://www.wikidata.org/entity/Q954,Зимбабве,Африка,Хараре,15178979,390757,20678055598,1362.28237735884607258499,южноафриканский рэнд
http://www.wikidata.org/entity/Q954,Зимбабве,Африка,Хараре,15178979,390757,20678055598,1362.28237735884607258499,доллар Зимбабве
http://www.wikidata.org/entity/Q954,Зимбабве,Африка,Хараре,15178979,390757,20678055598,1362.28237735884607258499,австралийский доллар
http://www.wikidata.org/entity/Q954,Зимбабве,Африка,Хараре,15178979,390757,20678055598,1362.28237735884607258499,зимбабвийский золотой
http://www.wikidata.org/entity/Q889,Афганистан,Азия,Кабул,41454761,652230,20497128555,494.44570564524542790151,афгани
http://www.wikidata.org/entity/Q963,Ботсвана,Африка,Габороне,2480244,581737,20352322157,8205.77417262172592696525,Ботсванская пула
http://www.wikidata.org/entity/Q965,Буркина-Фасо,Африка,Уагадугу,23025776,274200,20324617844,882.68981006329602094626,франк КФА BCEAO
http://www.wikidata.org/entity/Q962,Бенин,Африка,Порто-Ново,14111034,114763,19676049075,1394.37330212654862854132,франк КФА BCEAO
http://www.wikidata.org/entity/Q912,Мали,Африка,Бамако,20250833,1240192,19309463506,953.51452979736685399559,франк КФА BCEAO
