country,countryLabel,continentLabel,capitalLabel,area,gdp,gdpPerCapita,currencyLabel
http://www.wikidata.org/entity/Q736,Эквадор,Южная Америка,Кито,257204.27,115049476000,,доллар США
http://www.wikidata.org/entity/Q842,Оман,Азия,Маскат,309500,114667360208,,оманский риал
http://www.wikidata.org/entity/Q786,Доминиканская Республика,Северная Америка,Санто-Доминго,48670.82,113641857434,,доминиканское песо
http://www.wikidata.org/entity/Q114,Кения,Африка,Найроби,581309,113420008179,,кенийский шиллинг
http://www.wikidata.org/entity/Q774,Гватемала,Северная Америка,Гватемала,108889,95003333381,,гватемальский кетсаль
http://www.wikidata.org/entity/Q219,Болгария,Европа,София,110993.6,89040398406,,евро
http://www.wikidata.org/entity/Q32,Люксембург,Европа,Люксембург,2586.36,85506243834,,евро
http://www.wikidata.org/entity/Q117,Гана,Африка,Аккра,238535,79156409410,,Ганский седи
http://www.wikidata.org/entity/Q227,Азербайджан,Азия,Баку,86600,78807470588,,азербайджанский манат
http://www.wikidata.org/entity/Q804,Панама,Северная Америка,Панама,74177.3,76522511781,,доллар США
http://www.wikidata.org/entity/Q924,Танзания,Африка,Додома,947303,75709289056,,танзанийский шиллинг
http://www.wikidata.org/entity/Q854,Шри-Ланка,Азия,Шри-Джаяварденепура-Котте,65610,74403578363,,ланкийская рупия
http://www.wikidata.org/entity/Q184,Беларусь,Европа,Минск,207596.76,72793457588,,Белорусский рубль
http://www.wikidata.org/entity/Q1008,Кот-д’Ивуар,Африка,Ямусукро,322463,71811075955,,франк КФА BCEAO
http://www.wikidata.org/entity/Q77,Уругвай,Южная Америка,Монтевидео,176215,71177146197,,уругвайское песо
http://www.wikidata.org/entity/Q224,Хорватия,Европа,Загреб,56594,70964606465,,евро
http://www.wikidata.org/entity/Q37,Литва,Европа,Вильнюс,65300,70334299008,,евро
http://www.wikidata.org/entity/Q265,Узбекистан,Азия,Ташкент,448978,69238900000,,узбекский сум
http://www.wikidata.org/entity/Q800,Коста-Рика,Северная Америка,Сан-Хосе,51179.92,68380838316,,костариканский колон
http://www.wikidata.org/entity/Q836,Мьянма,Азия,Нейпьидо,676577.2,65124769602,,кьят
http://www.wikidata.org/entity/Q403,Сербия,Европа,Белград,88499,63501748652,,сербский динар
http://www.wikidata.org/entity/Q215,Словения,Европа,Любляна,20271,62117768015,,евро
http://www.wikidata.org/entity/Q974,Демократическая Республика Конго,Африка,Киншаса,2344858,58065953573,,конголезский франк
http://www.wikidata.org/entity/Q1049,Судан,Африка,Хартум,1886068,51662241775,,суданский фунт
http://www.wikidata.org/entity/Q810,Иордания,Азия,Амман,89341,47451499859,,иорданский динар
http://www.wikidata.org/entity/Q948,Тунис,Африка,Тунис,163610,46687298709,,тунисский динар
http://www.wikidata.org/entity/Q1016,Ливия,Африка,Триполи,1759541,45752336036,,ливийский динар
http://www.wikidata.org/entity/Q1036,Уганда,Африка,Кампала,241038,45559202049,,угандийский шиллинг
http://www.wikidata.org/entity/Q1009,Камерун,Африка,Яунде,475442,45338285386,,франк КФА BEAC
http://www.wikidata.org/entity/Q398,Бахрейн,Азия,Манама,786.5,44390820479,,бахрейнский динар
http://www.wikidata.org/entity/Q750,Боливия,Южная Америка,Сукре,1098581,43068885673,,боливиано
http://www.wikidata.org/entity/Q733,Парагвай,Южная Америка,Асунсьон,406756,41722295362,,парагвайский гуарани
http://www.wikidata.org/entity/Q211,Латвия,Европа,Рига,64593.76,41153912663,,евро
http://www.wikidata.org/entity/Q837,Непал,Азия,Катманду,147181.254346,40828247302,,непальская рупия
http://www.wikidata.org/entity/Q191,Эстония,Европа,Таллин,45335,38100812959,23757.62,евро
http://www.wikidata.org/entity/Q792,Сальвадор,Северная Америка,Сан-Сальвадор,21041,32488720000,,доллар США
